J.uAcm2_0.63_initialCA,¦Ö,Ne,r£¨2+£©,VNe,Mn,Ni,Mg,Ca,Fe,La,Y,In
752.0628571,1.25,22.3,0.835,3.1,0.2,0,0.2,0.5,0,0,0,0.1
1035.487619,1.44,25.6,0.698,4.4,0,0.2,0.5,0,0.1,0.2,0,0
1773.566667,1.377,17.4,0.601,3.2,0.1,0,0.7,0,0.1,0,0.1,0
761.9638095,1.359,22.8,0.763,3.4,0.1,0,0.5,0,0.1,0,0.3,0
675.4740476,1.416,33.8,1.044,5,0.2,0.1,0,0,0.1,0,0.6,0
424.1590476,1.351,44.3,1.086,4.7,0,0.1,0,0,0.2,0.5,0.2,0
1974.342857,1.458,23.8,0.79,5.8,0.2,0.2,0,0.4,0.2,0,0,0
1650.685714,1.598,24.3,0.656,7.1,0.7,0.2,0.1,0,0,0,0,0
10.31534762,1.361,38.7,0.916,4.3,0,0,0.2,0,0.3,0.5,0,0
279.8280714,1.341,17.9,0.58,2.7,0,0,0.8,0,0.1,0.1,0,0
1008.360476,1.375,29.6,0.766,4,0.1,0,0.4,0,0.2,0.3,0,0
2065.342857,1.642,22.9,0.604,6.5,0.3,0,0.2,0,0.5,0,0,0
1287.090476,1.417,34,0.89,5.2,0.1,0,0,0.2,0.4,0.3,0,0
843.1166667,1.732,30.8,0.752,7.2,0.4,0.3,0,0,0.1,0,0,0.2
1387.392857,1.721,28.1,0.689,7.3,0.4,0.1,0,0,0.4,0,0,0.1
885.7638095,1.247,22.4,0.838,3.2,0.2,0,0.3,0.3,0,0,0.2,0
1177.296572,1.577,29.6,0.786,6,0.6,0.1,0,0.1,0,0,0,0.2
1131.854524,1.388,24.2,0.686,3.8,0,0.2,0.6,0,0,0.2,0,0
755.0333333,1.431,25,0.798,3.8,0,0.2,0.3,0.3,0,0,0,0.2
278.5738095,1.461,28.1,0.913,5.5,0,0.4,0.1,0.2,0,0,0.3,0
2243.671905,1.62,28.8,0.796,7.2,0.4,0.3,0,0,0.1,0,0.2,0
1769.192619,1.723,25.3,0.698,8.1,0.1,0.7,0.1,0.1,0,0,0,0
1416.564286,1.395,22.4,0.82,5.2,0,0.4,0.1,0.5,0,0,0,0
662.3371429,1.417,36.6,0.957,5,0.5,0,0,0,0,0.2,0.2,0.1
813.7733333,1.404,17.8,0.626,3.8,0,0,0.5,0.2,0.3,0,0,0
381.1061905,1.484,24.5,0.746,5.3,0.3,0.2,0.3,0,0,0,0.2,0
1033.785238,1.312,31.5,0.846,4.3,0.4,0,0.2,0.1,0,0.3,0,0
1351.309524,1.658,35.7,0.835,5.7,0.3,0,0,0,0.3,0.1,0,0.3
1212.704762,1.483,18.9,0.618,4.9,0.1,0.3,0.5,0.1,0,0,0,0
2483.785714,1.624,25,0.714,7,0.2,0.2,0,0.2,0.4,0,0,0
1799.766667,1.333,22.1,0.756,3.7,0.3,0,0.4,0.1,0,0,0.2,0
1639.77381,1.496,31.7,0.792,6.5,0.7,0.1,0,0,0,0.2,0,0
615.2083333,1.298,33.9,0.856,3.9,0.3,0,0.3,0,0,0.4,0,0
1644.938095,1.484,29.4,0.758,5.8,0.4,0.2,0.2,0,0,0.2,0,0
1936.254762,1.503,28.1,0.8,6.5,0.4,0.3,0,0.2,0,0.1,0,0
808.767619,1.68,32,0.778,7.6,0,0.6,0.1,0,0.1,0.2,0,0
350.5194429,1.153,39.8,1.008,2.6,0,0,0.3,0.1,0,0.6,0,0
1105.904762,1.641,32.6,0.82,7.4,0,0.5,0,0.1,0.2,0.2,0,0
639.8866667,1.667,23.2,0.648,6.8,0,0.3,0.2,0.1,0.4,0,0,0
4152.161905,1.625,28.8,0.714,7.2,0.5,0.1,0,0,0.3,0.1,0,0
384.5845238,1.331,28.4,0.762,3.6,0.1,0.1,0.5,0,0,0.3,0,0
2083.278571,1.57,26.8,0.771,7,0.5,0.3,0,0.1,0,0,0.1,0
1408.17619,1.404,27.9,0.874,4.3,0.3,0,0,0.4,0.1,0,0,0.2
1019.920476,1.465,23.2,0.646,4.8,0.3,0,0.4,0,0.2,0.1,0,0
497.4485714,1.706,22.6,0.606,7,0,0.4,0.3,0,0.3,0,0,0
1330.389524,1.728,29.7,0.802,8.1,0.1,0.6,0,0,0.1,0,0.2,0
1527.307857,1.319,29.4,0.778,3.8,0.3,0,0.4,0,0,0.3,0,0
533.6128571,1.33,21.2,0.672,3.6,0.3,0,0.5,0.1,0,0.1,0,0
637.0109524,1.349,18.1,0.588,2.9,0,0.1,0.8,0,0,0.1,0,0
1168.152381,1.588,29.6,0.726,6,0,0.1,0.2,0,0.5,0.2,0,0
2960.17619,1.496,24.2,0.722,6.2,0.6,0,0,0.2,0.2,0,0,0
669.3480952,1.649,27.5,0.676,6.7,0.2,0,0.1,0,0.6,0.1,0,0
1711.671429,1.621,23.3,0.651,5.9,0,0.1,0.3,0,0.5,0,0.1,0
921.3454762,1.585,32.4,0.832,7.2,0.2,0.5,0,0.1,0,0.2,0,0
3400.090476,1.447,21.9,0.666,5.5,0.7,0,0.2,0.1,0,0,0,0
926.2485714,1.563,20.4,0.624,5.6,0,0.3,0.4,0.1,0.2,0,0,0
895.6752381,1.715,25.8,0.684,7.8,0.2,0.3,0,0.1,0.4,0,0,0
1176.633333,1.709,27.6,0.721,7.8,0.3,0.3,0,0,0.3,0,0.1,0
2993.633333,1.441,23.7,0.754,5.7,0.5,0,0,0.3,0.2,0,0,0
1120.538095,1.161,22.7,0.92,2.7,0.1,0,0.2,0.5,0,0,0.2,0
2543.659524,1.482,19.9,0.592,5.1,0.5,0,0.4,0,0.1,0,0,0
1130.042857,1.616,27.5,0.811,6.7,0,0.5,0,0.3,0.1,0,0,0.1
1489.671429,1.182,23.1,0.854,3.1,0.2,0,0.2,0.5,0,0.1,0,0
2055.909524,1.694,24.3,0.616,7.1,0.3,0,0.1,0,0.6,0,0,0
2034.595238,1.46,31.4,0.79,6.2,0.8,0,0,0,0,0.2,0,0
728.662981,1.153,46.5,1.148,3.3,0,0,0,0.2,0.1,0.7,0,0
1739.666667,1.505,28.2,0.73,6.6,0.9,0,0,0,0,0.1,0,0
989.1785714,1.569,29.5,0.827,4.7,0,0.3,0.2,0.2,0,0,0,0.3
1060.874286,1.28,21,0.775,3.6,0.3,0,0.3,0.3,0,0,0.1,0
1842.352381,1.618,28.3,0.726,6.7,0.2,0,0,0.1,0.6,0.1,0,0
1708.642857,1.589,27,0.737,7.2,0.7,0.2,0,0,0,0,0.1,0
1244.495238,1.619,30.6,0.813,6.2,0.3,0,0,0,0.4,0,0.2,0.1
1384.747619,1.347,23.1,0.834,5.1,0.3,0.2,0,0.5,0,0,0,0
1113.321667,1.556,28.4,0.8,6.8,0.6,0.2,0,0,0,0,0.2,0
1092.328571,1.582,31.5,0.881,5.1,0,0.2,0,0.3,0.2,0,0,0.3
961.215,1.192,25.3,0.958,3.7,0,0.2,0,0.7,0,0.1,0,0
924.7171429,1.282,28.9,0.981,3.5,0.2,0,0.2,0.1,0,0,0.5,0
2246.647619,1.471,19.9,0.634,5.1,0.3,0.2,0.4,0.1,0,0,0,0
1094.01881,1.692,32.4,0.75,7.2,0,0.1,0,0,0.7,0.2,0,0
1133.171429,1.813,27.9,0.685,7.9,0,0.5,0.1,0,0.3,0,0,0.1
1670.419048,1.658,25.9,0.676,7.9,0.7,0.3,0,0,0,0,0,0
1140.748095,1.644,32.4,0.77,7.2,0.2,0.2,0,0,0.4,0.2,0,0
1839.033333,1.242,23.9,0.893,4.1,0.4,0,0,0.5,0,0,0.1,0
2093.313426,1.675,26,0.712,8,0.4,0.5,0,0.1,0,0,0,0
2572.080952,1.542,21.5,0.612,5.9,0.5,0.1,0.3,0,0.1,0,0,0
888.8344643,1.267,46.3,1.06,3.9,0,0,0.1,0,0.2,0.7,0,0
1018.045714,1.351,16.7,0.594,3.5,0.3,0,0.6,0.1,0,0,0,0
1842.695238,1.546,27,0.737,6.2,0.7,0,0,0.1,0.1,0,0,0.1
2150.990476,1.329,39.8,0.946,4.6,0.3,0,0.1,0,0.1,0.5,0,0
792.4357143,1.79,25.5,0.644,8.3,0.1,0.5,0.1,0,0.3,0,0,0
632.8578571,1.554,38.8,0.89,6.4,0,0.2,0,0,0.4,0.4,0,0
726.6114286,1.751,26.1,0.686,8.1,0.1,0.4,0,0.1,0.4,0,0,0
890.5519048,1.224,20.8,0.838,3.6,0.2,0,0.1,0.6,0.1,0,0,0
832.5992857,1.594,20.3,0.568,5.5,0.1,0,0.4,0,0.5,0,0,0
1398.749048,1.343,30.7,0.796,4.3,0.4,0,0.3,0,0,0.3,0,0
1054.914286,1.76,30.9,0.746,7.3,0.3,0.3,0,0,0.2,0,0,0.2
2838.547619,1.534,21.3,0.604,5.7,0.5,0,0.3,0,0.2,0,0,0
1801.166667,1.535,31.4,0.956,6.2,0,0.4,0,0.1,0.1,0,0.4,0
1278.004762,1.324,16.3,0.62,3.1,0.1,0,0.6,0.2,0.1,0,0,0
2173.742857,1.45,27.7,0.762,6.1,0.8,0,0,0.1,0,0.1,0,0
1662.214286,1.141,20.2,0.876,3,0.2,0,0.1,0.7,0,0,0,0
2066.519048,1.427,19.4,0.624,4.6,0.4,0,0.4,0.1,0.1,0,0,0
2142.142857,1.5,22.3,0.704,5.9,0.3,0.3,0.2,0.2,0,0,0,0
2770.414286,1.558,22.6,0.622,6.2,0.6,0,0.2,0,0.2,0,0,0
1996.35,1.256,22.3,0.864,4.3,0.3,0.1,0,0.6,0,0,0,0
2257.997619,1.794,26.9,0.676,8.9,0.3,0.6,0,0,0.1,0,0,0
1990.666667,1.597,28.7,0.72,7.1,0.6,0.1,0,0,0.2,0.1,0,0
871.2185714,1.352,33.4,1.048,4.6,0.4,0,0,0,0,0,0.6,0
1483.92619,1.212,32.7,1.014,3.9,0,0.2,0,0.5,0,0.3,0,0
1482.416667,1.361,18.9,0.698,4.1,0.1,0.2,0.4,0.3,0,0,0,0
1095.521429,1.616,32.3,0.776,7.1,0.3,0.2,0,0,0.3,0.2,0,0
845.6790476,1.67,29.8,0.796,6.2,0,0.2,0,0.2,0.4,0,0,0.2
825.0635714,1.813,30.5,0.732,8.9,0,0.7,0,0,0.2,0.1,0,0
1316.009524,1.647,29.3,0.808,7.7,0,0.7,0,0.2,0,0.1,0,0
1847.790476,1.255,20,0.788,3.6,0.2,0,0.2,0.5,0.1,0,0,0
1168.966667,1.52,26.3,0.783,5.5,0.2,0,0,0.3,0.4,0,0,0.1
774.45,1.614,32.9,0.86,5.7,0.3,0,0,0,0.3,0,0.2,0.2
588.9397619,1.25,31.3,0.82,2.9,0.1,0,0.5,0,0,0.4,0,0
2139.680952,1.63,20.6,0.57,5.8,0,0.1,0.4,0,0.5,0,0,0
1816.733333,1.539,24.3,0.771,6.1,0,0.5,0.2,0.2,0,0,0.1,0
762.5390476,1.826,26.5,0.64,8.5,0.1,0.3,0,0,0.6,0,0,0
2096.12381,1.424,28.8,0.885,5.4,0.5,0,0,0.1,0.1,0,0.3,0
1275.557143,1.492,27.8,0.771,3.8,0.3,0,0.3,0.1,0,0,0,0.3
1495.509524,1.4,32.7,1.034,4.7,0.1,0.2,0.1,0,0,0,0.6,0
994.2052381,1.344,36.4,0.962,4.8,0,0.3,0.1,0.2,0,0.4,0,0
1731.721429,1.075,27.9,1.014,2.7,0.1,0,0,0.7,0,0.2,0,0
1325.247619,1.505,23.4,0.756,6.2,0.2,0.4,0.1,0.3,0,0,0,0
806.4290476,1.599,34.9,0.836,6.9,0,0.5,0.1,0,0.1,0.3,0,0
1123.62381,1.612,29.4,0.778,6.8,0.6,0.2,0,0,0,0,0.1,0.1
444.7652381,1.694,22.9,0.628,7.3,0.1,0.6,0.3,0,0,0,0,0
1103.7,1.48,20.5,0.656,4.9,0.1,0,0.3,0.2,0.4,0,0,0
946.4371429,1.349,27.4,0.906,3.8,0.2,0,0,0.5,0.1,0,0,0.2
1510.086429,1.175,25.2,0.922,3.6,0.3,0,0,0.6,0,0.1,0,0
2124.566667,1.406,30.6,0.842,5.4,0.4,0,0,0.2,0.2,0.2,0,0
1787.219048,1.185,28.9,0.95,3.7,0.3,0,0,0.5,0,0.2,0,0
1125.509524,1.378,22.3,0.784,5.1,0.3,0.2,0.1,0.4,0,0,0,0
2195.552381,1.221,29.2,0.952,4,0.2,0.1,0,0.5,0,0.2,0,0
1070.445714,1.108,21.6,0.939,2.6,0.1,0,0.1,0.7,0,0,0.1,0
2428.2,1.265,17,0.676,3,0.2,0,0.5,0.3,0,0,0,0
2153.447619,1.488,23.3,0.72,6.1,0.5,0.2,0.1,0.2,0,0,0,0
1173.71119,1.769,28.1,0.669,7.3,0.2,0,0,0,0.7,0,0,0.1
987.7671429,1.243,40.1,1.028,4.1,0.2,0,0,0.2,0.1,0.5,0,0
574.917619,1.611,29,0.806,7.4,0.1,0.6,0,0.2,0,0.1,0,0
687.9466667,1.771,26,0.672,8,0,0.3,0,0.1,0.6,0,0,0
1346.4,1.56,23.9,0.724,6.7,0.3,0.4,0.1,0.2,0,0,0,0
1476.314286,1.287,27.4,0.975,4,0.1,0,0,0.4,0.2,0,0.3,0
799.0285714,1.621,32.7,0.834,7.5,0.1,0.6,0,0.1,0,0.2,0,0
1800.619048,1.604,30.7,0.736,6.3,0.1,0,0.1,0,0.6,0.2,0,0
1308.147619,1.173,26.6,0.916,3,0,0.1,0.2,0.5,0,0.2,0,0
1572.859524,1.685,29.7,0.74,8.1,0.4,0.5,0,0,0,0.1,0,0
1444.22381,1.085,31.6,1.042,2.8,0.1,0,0,0.6,0,0.3,0,0
2190.261905,1.746,25.7,0.628,7.7,0.3,0,0,0,0.7,0,0,0
938.7428571,1.764,33.1,0.821,6.7,0,0.4,0,0.1,0.2,0,0,0.3
1784.720952,1.388,25.2,0.831,5.4,0.5,0.1,0,0.3,0,0,0.1,0
785.5604929,1.487,25.1,0.728,5.1,0,0,0.2,0.2,0.5,0.1,0,0
1704.880952,1.258,25.8,0.884,4.2,0.3,0,0,0.5,0.1,0.1,0,0
681.75,1.275,46.5,1.068,4.1,0,0.1,0.1,0,0.1,0.7,0,0
834.5721429,1.557,24.8,0.768,6.8,0.2,0.4,0,0.3,0.1,0,0,0
2540.138095,1.596,24.9,0.72,6.9,0.3,0.2,0,0.2,0.3,0,0,0
1192.519048,1.304,22.3,0.844,4.3,0.1,0,0,0.6,0.3,0,0,0
1484.912143,1.594,28.9,0.77,7.3,0.4,0.4,0,0.1,0,0.1,0,0
2322.085714,1.096,23.4,0.936,2.6,0.1,0,0.1,0.7,0,0.1,0,0
1505.876429,1.055,20.5,0.958,2.5,0.1,0,0,0.9,0,0,0,0
1124.999762,1.711,24.4,0.652,7.2,0,0.2,0.1,0.1,0.6,0,0,0
3068.528571,1.431,26.7,0.817,4.9,0.4,0,0.2,0,0.1,0,0.3,0
1619.257143,1.493,23.3,0.64,4.9,0.2,0,0.4,0,0.3,0.1,0,0
1061.788095,1.684,29.2,0.792,7.6,0.2,0.4,0,0,0.2,0,0.2,0
382.5228571,1.341,28.2,0.925,3.6,0.1,0,0.3,0,0.1,0,0.5,0
1265.867381,1.35,24.8,0.899,5,0.1,0.3,0,0.5,0,0,0.1,0
1200.571429,1.431,18.2,0.6,4.2,0.2,0,0.5,0.1,0.2,0,0,0
1116.289048,1.538,31.2,0.906,6,0.2,0.1,0,0,0.3,0,0.4,0
2037.914286,1.627,23.4,0.676,7,0.2,0.5,0.2,0.1,0,0,0,0
1313.76119,1.533,32.7,0.963,5.7,0,0.1,0,0,0.4,0,0.5,0
759.8385714,1.231,25.4,0.91,3.8,0.1,0,0,0.6,0.2,0.1,0,0
3560.242857,1.408,25.1,0.817,5.3,0.4,0,0,0.3,0.2,0,0.1,0
1289.304762,1.587,33.3,0.814,6.1,0.6,0.1,0,0,0,0.1,0,0.2
2085.478571,1.174,21.4,0.922,3.4,0,0.1,0,0.8,0.1,0,0,0
1606.321429,1.66,30.2,0.748,6.6,0.6,0.1,0,0,0.1,0,0,0.2
1248.3,1.555,34.4,0.835,6.4,0.5,0.2,0,0,0,0.2,0,0.1
1196.3,1.693,27.3,0.692,7.3,0,0.5,0.2,0,0.2,0.1,0,0
1528.22619,1.782,26,0.63,8,0.2,0.1,0,0,0.7,0,0,0
1245.161905,1.302,22.9,0.806,3.7,0.3,0,0.3,0.2,0,0,0.2,0
1811.309524,1.282,18.6,0.636,2.6,0.1,0,0.7,0.1,0,0.1,0,0
2519.228571,1.232,21,0.846,3.8,0.2,0.1,0.1,0.6,0,0,0,0
896.3697619,1.351,37.6,0.944,5.2,0.4,0.1,0,0.1,0,0.4,0,0
1500.766667,1.729,28.3,0.697,7.5,0.4,0.2,0,0,0.3,0,0,0.1
1250.458571,1.227,19.9,0.794,3.5,0.3,0,0.2,0.5,0,0,0,0
2371.242857,1.166,49.3,1.132,3.3,0.1,0,0.1,0,0,0.8,0,0
796.8114286,1.443,30.6,0.864,5.4,0,0.1,0,0.3,0.4,0.2,0,0
993.0085714,1.436,33.7,1.03,4.9,0.1,0,0,0,0.3,0,0.6,0
1101.966667,1.422,15,0.522,3.4,0,0.1,0.8,0,0.1,0,0,0
1753.140476,1.205,20.6,0.872,3.4,0,0.1,0.1,0.7,0.1,0,0,0
730.5185714,1.293,20.5,0.769,2.9,0,0.1,0.4,0.4,0,0,0,0.1
2085.47381,1.609,27.7,0.713,6.9,0.8,0.1,0,0,0,0,0,0.1
1311.725,1.297,44.3,1.066,4.7,0.1,0.2,0,0.1,0,0.6,0,0
2571.969048,1.5,23,0.698,5.8,0.4,0,0.1,0.2,0.3,0,0,0
1243.596667,1.644,29.1,0.738,6.3,0.5,0.2,0.1,0,0,0,0,0.2
279.9533333,1.805,27.7,0.677,7.7,0,0.4,0.1,0,0.4,0,0,0.1
508.2919048,1.224,33.2,0.922,3.2,0,0.1,0.3,0.2,0,0.4,0,0
1078.36619,1.709,29.1,0.696,7.5,0.2,0.1,0,0,0.6,0.1,0,0
333.777619,1.543,28.7,0.824,5.1,0.1,0,0,0.3,0.4,0,0,0.2
1311.629762,1.264,34.3,1.143,3.7,0.2,0,0,0.1,0,0,0.7,0
1248.609524,1.73,23.9,0.624,7.5,0.1,0.4,0.2,0,0.3,0,0,0
757.052381,1.543,20.5,0.638,5.7,0.1,0.4,0.4,0.1,0,0,0,0
1152.838095,1.374,36.6,0.886,5,0.4,0,0.1,0,0.1,0.4,0,0
1363.442857,1.706,23.3,0.6,6.9,0.1,0.1,0.2,0,0.6,0,0,0
936.037619,1.727,33.1,0.799,6.7,0.4,0.3,0,0,0,0,0,0.3
2757.87381,1.569,28.6,0.726,7,0.7,0.1,0,0,0.1,0.1,0,0
1628.514286,1.196,23.3,0.953,3.5,0,0.1,0,0.7,0.1,0,0.1,0
1347.466667,1.866,27.5,0.68,9.5,0.1,0.8,0,0,0.1,0,0,0
971.357619,1.423,32.2,0.802,5,0.3,0,0.2,0,0.2,0.3,0,0
2151.842857,1.24,24.5,0.906,3.7,0.3,0,0.1,0.4,0,0,0.2,0
1824.490476,1.48,29,0.873,5.6,0.3,0,0,0.1,0.3,0,0.3,0
909.8790476,1.858,27.3,0.672,9.3,0.1,0.7,0,0,0.2,0,0,0
1095.77619,1.584,30.8,0.759,6.4,0.6,0,0,0,0.2,0.1,0,0.1
3520.757143,1.469,24.6,0.678,5.4,0.5,0.1,0.3,0,0,0.1,0,0
1497.845714,1.433,20.2,0.645,4.4,0.3,0.1,0.5,0,0,0,0.1,0
1639.180952,1.378,20.5,0.658,3.7,0,0.2,0.6,0.1,0,0.1,0,0
967.8395238,1.339,28.8,0.936,4.4,0.4,0,0.1,0.1,0,0,0.4,0
2009.569048,1.555,22.8,0.672,6.4,0.4,0.3,0.2,0.1,0,0,0,0
1381.485714,1.747,33,0.785,6.6,0.3,0.2,0,0,0.2,0,0,0.3
546.177619,1.509,40.5,0.975,6.3,0,0.4,0,0,0.1,0.4,0.1,0
437.7252381,1.497,31.7,0.967,5.5,0,0.3,0.1,0,0.1,0,0.5,0
1363.571429,1.56,33.7,0.892,4.5,0.3,0,0,0.2,0.1,0,0,0.4
708.8204762,1.251,29.7,1.031,3.5,0.2,0,0.1,0.2,0,0,0.5,0
604.142381,1.748,29.6,0.788,8,0,0.5,0,0,0.3,0,0.2,0
1229.303571,1.657,27,0.699,7,0.5,0.3,0.1,0,0,0,0,0.1
2002.783333,1.73,26.5,0.68,8.5,0.5,0.5,0,0,0,0,0,0
1759.402381,1.481,22.8,0.681,5.4,0.5,0.1,0.3,0,0,0,0.1,0
2868.421429,1.545,26.5,0.727,6.7,0.8,0,0,0,0.1,0,0.1,0
1584.038095,1.673,28.8,0.694,7.2,0.3,0,0,0,0.6,0.1,0,0
1203.434762,1.761,29.1,0.72,8.3,0,0.7,0.1,0,0.1,0.1,0,0
437.8704762,1.547,27.8,0.831,6,0.1,0.4,0.2,0,0,0,0.3,0
906.6828571,1.416,45.2,1.03,5.6,0,0.3,0,0,0.1,0.6,0,0
774.6819048,1.124,16.8,0.79,2,0,0,0.4,0.6,0,0,0,0
1506.614286,1.469,20.5,0.647,4.7,0.2,0.2,0.5,0,0,0,0.1,0
1778.271429,1.449,20.6,0.712,5,0,0.3,0.3,0.3,0.1,0,0,0
2591.938095,1.284,22.4,0.858,4.4,0.2,0.1,0,0.6,0.1,0,0,0
733.1871429,1.698,34.8,0.822,5.6,0.4,0,0,0,0.2,0,0,0.4
1493.690476,1.651,22.8,0.632,6.4,0,0.1,0.2,0.1,0.6,0,0,0
1764.838095,1.549,26.1,0.693,6.1,0.8,0,0.1,0,0,0,0,0.1
1391.619048,1.213,41.4,1.028,3.4,0,0.1,0.2,0.1,0,0.6,0,0
1405.061905,1.633,26.4,0.675,6.4,0.5,0,0.1,0,0.3,0,0,0.1
1294.504762,1.743,25.9,0.678,7.9,0.1,0.3,0,0.1,0.5,0,0,0
1128.714286,1.224,39.9,1.062,3.9,0,0.1,0,0.3,0.1,0.5,0,0
1723.086905,1.601,26.8,0.702,6.8,0.3,0.4,0.2,0,0,0.1,0,0
1559.3,1.312,22.5,0.852,4.5,0.1,0.1,0,0.6,0.2,0,0,0
1570.452381,1.713,27.9,0.681,7.1,0.4,0,0,0,0.5,0,0,0.1
871.9642857,1.359,28.5,0.756,3.7,0,0.1,0.5,0,0.1,0.3,0,0
1274.638095,1.298,24.9,0.871,4.1,0.4,0,0,0.5,0,0,0,0.1
656.7709524,1.354,29.5,0.985,4.1,0,0.2,0.2,0.1,0,0,0.5,0
1426.990476,1.433,24.3,0.676,5.1,0.6,0,0.3,0,0,0.1,0,0
1228.314286,1.194,22.1,0.838,2.9,0,0.1,0.3,0.5,0,0.1,0,0
1457.77381,1.688,30.3,0.742,6.7,0.5,0.1,0,0,0.2,0,0,0.2
1514.295238,1.632,32.7,0.792,7.5,0.3,0.4,0,0,0.1,0.2,0,0
684.4390476,1.69,28.9,0.73,7.3,0,0.2,0,0.1,0.6,0.1,0,0
397.9238095,1.552,35.3,0.87,6.5,0,0.3,0,0.1,0.3,0.3,0,0
1497.361905,1.494,18.9,0.576,4.9,0.3,0.1,0.5,0,0.1,0,0,0
541.6695238,1.773,27.3,0.723,8.3,0,0.7,0.1,0,0.1,0,0.1,0
1774.895238,1.249,30.3,1.044,3.1,0.1,0,0.2,0.1,0,0,0.6,0
1581.059524,1.264,25.8,0.924,4.2,0.4,0,0,0.4,0,0,0.2,0
3874.261905,1.448,21.6,0.686,5.2,0.4,0,0.2,0.2,0.2,0,0,0
531.1852381,1.802,25.2,0.622,8,0,0.3,0.1,0,0.6,0,0,0
874.847381,1.481,23.6,0.662,5.2,0.3,0.2,0.4,0,0,0.1,0,0
973.4914286,1.467,31.1,0.85,5.9,0.6,0,0,0,0.1,0.1,0.2,0
1718.061905,1.505,21.5,0.643,4.9,0.2,0,0.4,0,0.3,0,0.1,0
2959.209524,1.556,23.2,0.686,6,0.2,0,0.1,0.2,0.5,0,0,0
1155.920952,1.719,25.3,0.654,7.3,0.1,0,0,0.1,0.8,0,0,0
766.9385714,1.722,32.8,0.79,5.2,0,0.2,0.2,0,0.2,0,0,0.4
1453.423333,1.515,35.3,0.848,6.5,0.4,0.2,0,0,0.1,0.3,0,0
1045.403095,1.716,28.8,0.756,7.2,0,0.1,0,0,0.7,0,0.2,0
483.8257143,1.206,20.3,0.841,2.9,0,0.1,0.3,0.5,0,0,0.1,0
812.5602381,1.803,42.3,0.947,4.7,0,0.1,0,0,0.2,0,0,0.7
1024.95381,1.36,23.3,0.771,4.1,0.4,0,0.2,0.3,0,0,0,0.1
3785.8,1.443,25.7,0.799,5.9,0.6,0.1,0,0.2,0,0,0.1,0
1294.461905,1.774,25.8,0.622,7.8,0.2,0,0,0,0.8,0,0,0
1696.22619,1.451,17.4,0.592,4.2,0,0.2,0.6,0.1,0.1,0,0,0
2449.409524,1.239,46.2,1.066,3.8,0.1,0,0.1,0,0.1,0.7,0,0
810.957619,1.425,33.5,0.904,5.5,0,0.4,0.1,0.2,0,0.3,0,0
1864.302857,1.43,29.6,0.906,5.2,0.4,0.1,0.1,0,0,0,0.4,0
988.2807143,1.403,32.3,0.816,5.1,0.4,0.1,0.2,0,0,0.3,0,0
1191.590476,1.712,29.3,0.786,7.7,0.1,0.4,0,0,0.3,0,0.2,0
431.5261905,1.726,34.1,0.826,5.9,0.1,0,0,0,0.5,0,0.1,0.3
301.3871429,1.727,31.5,0.819,7.1,0,0.3,0,0,0.4,0,0.2,0.1
2120.357143,1.454,19.8,0.598,5,0.6,0,0.4,0,0,0,0,0
1364.652381,1.214,23.8,0.901,2.8,0.1,0,0.3,0.3,0,0,0.3,0
1188.82381,1.595,30.4,0.867,7,0.3,0.4,0,0,0,0,0.3,0
682.4587143,1.269,15.8,0.652,2.6,0,0,0.6,0.3,0.1,0,0,0
509.2319048,1.552,28.9,0.883,6.3,0,0.5,0.1,0.1,0,0,0.3,0
1212.161905,1.37,24.7,0.885,4.9,0,0.2,0,0.5,0.2,0,0.1,0
1373.269524,1.806,26.6,0.654,8.6,0.2,0.4,0,0,0.4,0,0,0
640.7533333,1.512,34.5,0.955,3.3,0,0.1,0.1,0.3,0,0,0,0.5
1924.357143,1.115,42.7,1.126,3.1,0.1,0,0,0.3,0,0.6,0,0
2196.752381,1.632,25.2,0.722,7.2,0.2,0.3,0,0.2,0.3,0,0,0
1109.890476,1.695,35,0.872,5.8,0.2,0.3,0,0.1,0,0,0,0.4
2039.297619,1.737,27.7,0.715,7.9,0.2,0.3,0,0,0.4,0,0.1,0
1672.688095,1.59,27.5,0.747,6.7,0.6,0.2,0,0.1,0,0,0,0.1
430.5457143,1.377,28.5,0.927,3.9,0,0.1,0.3,0,0.1,0,0.5,0
2260.014286,1.485,24.2,0.764,6.2,0.4,0.2,0,0.3,0.1,0,0,0
812.3021429,1.562,39,0.898,6.6,0,0.3,0,0,0.3,0.4,0,0
1231.255476,1.773,28.8,0.707,8,0.3,0.4,0,0,0.2,0,0,0.1
1702.352381,1.687,25,0.696,7.8,0.2,0.6,0.1,0.1,0,0,0,0
751.4283333,1.426,38,0.898,5.6,0.4,0,0,0,0.2,0.4,0,0
1024.76381,1.424,27,0.757,5.2,0.6,0,0.2,0,0,0.1,0.1,0
1502.202381,1.6,31.2,0.775,6.8,0.6,0.2,0,0,0,0.1,0,0.1
801.7671429,1.741,27.2,0.685,7.4,0.1,0,0,0,0.8,0,0.1,0
1436.366667,1.527,26.1,0.768,6.1,0,0.5,0.2,0.2,0,0.1,0,0
831.8252381,1.619,29.1,0.829,6.5,0,0.3,0.1,0,0.3,0,0.3,0
1207.8,1.549,33.1,0.979,6.1,0,0.3,0,0,0.2,0,0.5,0
566.2785714,1.837,29.2,0.703,8.4,0.1,0.5,0,0,0.3,0,0,0.1
